Guelph — Historical Vacancy Rates by Bedroom Type  
1990 to 2023 Row October
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,0.0,a ,0.0,a ,0.0,a ,
1991 October,**,,**,,**,,2.7,c ,1.8,c ,
1992 October,**,,**,,0.5,a ,2.2,a ,1.6,a ,
1993 October,**,,**,,0.2,a ,0.2,a ,0.2,a ,
1994 October,**,,**,,0.5,a ,0.8,a ,0.7,a ,
1995 October,**,,**,,0.2,a ,1.2,a ,0.9,a ,
1996 October,**,,**,,0.6,a ,0.3,a ,0.4,a ,
1997 October,**,,**,,1.2,a ,1.4,a ,1.4,a ,
1998 October,**,,**,,0.0,a ,0.1,a ,0.1,a ,
1999 October,**,,**,,0.0,a ,0.0,a ,0.0,a ,
2000 October,**,,**,,0.0,a ,0.3,a ,0.2,a ,
2001 October,**,,**,,0.0,a ,1.1,a ,0.7,a ,
2002 October,**,,**,,0.6,a ,4.2,a ,3.1,a ,
2003 October,**,,**,,2.0,a ,5.2,a ,4.2,a ,
2004 October,**,,**,,4.1,a ,4.4,a ,4.3,a ,
2005 October,**,,**,,3.4,a ,4.7,a ,4.3,a ,
2006 October,**,,**,,2.0,b ,5.0,c ,4.0,b ,
2007 October,**,,**,,3.3,a ,8.8,a ,7.1,a ,
2008 October,**,,**,,3.7,a ,3.5,a ,3.5,a ,
2009 October,**,,**,,1.5,a ,6.8,c ,4.9,c ,
2010 October,**,,**,,**,,1.6,b ,1.2,a ,
2011 October,**,,**,,**,,2.2,a ,1.8,a ,
2012 October,**,,**,,1.2,a ,1.3,a ,1.3,a ,
2013 October,**,,**,,0.6,a ,0.9,a ,0.8,a ,
2014 October,**,,**,,**,,2.3,a ,1.7,a ,
2015 October,**,,**,,1.1,a ,0.3,a ,0.5,a ,
2016 October,**,,**,,**,,0.4,a ,0.3,a ,
2017 October,**,,**,,0.8,a ,1.7,a ,1.5,a ,
2018 October,**,,**,,1.1,a ,1.1,a ,1.1,a ,
2019 October,**,,**,,2.1,c ,0.6,a ,1.0,d ,
2020 October,**,,**,,1.2,a ,0.9,a ,1.0,a ,
2021 October,**,,**,,1.5,c ,0.7,a ,0.9,a ,
2022 October,**,,**,,0.6,a ,0.2,a ,0.3,a ,
2023 October,**,,**,,**,,0.8,a ,0.6,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
